name,importance
max_empl_employedfrom_271D,335
max_birth_259D,148
mean_amount_4527230A,142
price_1097A,137
min_refreshdate_3813885D,127
annuity_780A,121
max_mainoccupationinc_384A,109
pmtcount_4527229L,103
max_classificationofcontr_13M,101
max_amount_4527230A,100
var_amount_4527230A,98
eir_270L,96
responsedate_1012D,92
min_postype_4733339M,92
max_safeguarantyflag_411L,71
responsedate_4917613D,58
pmtnum_254L,55
credamount_770A,53
requesttype_4525192L,51
pmtaverage_4527227A,36
applicationscnt_464L,35
firstclxcampaign_1125D,35
min_language1_981M,33
disbursedcredamount_1113A,32
clientscnt_887L,31
mean_annuity_853A,30
max_sex_738L,28
applicationscnt_629L,25
downpmt_116A,23
max_empl_industry_691L,22
datefirstoffer_1144D,20
lastapprcredamount_781A,20
inittransactionamount_650A,19
max_pmtnum_8L,18
max_revolvingaccount_394A,16
max_role_1084L,14
clientscnt_533L,14
typesuite_864L,13
min_employedfrom_700D,13
max_credamount_590A,13
applicationscnt_867L,13
var_credamount_590A,13
responsedate_4527233D,13
max_contaddr_matchlist_1032L,12
sellerplacescnt_216L,12
max_employedfrom_700D,12
posfpd10lastmonth_333P,11
var_annuity_853A,11
applicationscnt_1086L,11
max_incometype_1044T,11
max_annuity_853A,11
description_5085714M,10
max_language1_981M,10
maxannuity_159A,9
mean_credacc_credlmt_575A,9
lastrejectcredamount_222A,9
maxpmtlast3m_4525190A,9
twobodfilling_608L,8
max_recorddate_4527225D,8
paytype1st_925L,8
max_personindex_1023L,8
max_relationshiptoclient_415T,8
min_cancelreason_3545846M,7
clientscnt_1022L,7
clientscnt_157L,7
var_mainoccupationinc_437A,7
max_housetype_905L,7
mean_firstnonzeroinstldate_307D,6
min_creationdate_885D,6
lastapprdate_640D,6
max_amount_416A,6
clientscnt_304L,6
max_dtlastpmtallstes_3545839D,6
posfstqpd30lastmonth_3976962P,6
avglnamtstart24m_4525187A,6
min_dtlastpmt_581D,6
bankacctype_710L,6
lastapplicationdate_877D,6
max_firstnonzeroinstldate_307D,6
pctinstlsallpaidearl3d_427L,6
mean_credamount_590A,5
numinstpaid_4499208L,5
min_credamount_590A,5
max_mainoccupationinc_437A,5
daysoverduetolerancedd_3976961L,5
maxdpdinstldate_3546855D,5
datelastunpaid_3546854D,5
min_mainoccupationinc_437A,5
lastrejectdate_50D,4
mean_mainoccupationinc_437A,4
max_contaddr_smempladdr_334L,4
maxdebt4_972A,4
max_credacc_credlmt_575A,3
firstdatedue_489D,3
max_dateactivated_425D,3
min_dateactivated_425D,2
clientscnt6m_3712949L,2
actualdpdtolerance_344P,2
numinstlsallpaid_934L,2
max_childnum_21L,2
var_credacc_credlmt_575A,2
mean_dtlastpmtallstes_3545839D,1
homephncnt_628L,1
maxdpdtolerance_374P,1
mean_creationdate_885D,1
maininc_215A,1
clientscnt12m_3712952L,0
